"","checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","class"
"1860","<0",22,"delayed previously","education",7948.05,"<100","4<=X<7",3.58,"male div/sep","none",3,"no known property",41,"stores","for free",1,"high qualif/self emp/mgmt",1,"1","1","bad"
"1861","no checking",36,"existing paid","furniture/equipment",10974,"<100","unemployed",4,"female div/dep/mar","none",2,"car",26,"stores","own",2,"high qualif/self emp/mgmt",1,"1","1","bad"
"1862","<0",36,"existing paid","furniture/equipment",5179,"<100","4<=X<7",4,"male single","none",2,"life insurance",29,"stores","own",1,"skilled",1,"0","1","bad"
"1863","0<=X<200",12,"all paid","retraining",5133.59,"<100","<1",2.18,"female div/dep/mar","none",3,"life insurance",69,"bank","for free",1,"high qualif/self emp/mgmt",1,"0","1","bad"
"1864","<0",12,"no credits/all paid","repairs",1108,"<100","4<=X<7",4,"male single","none",3,"real estate",28,"stores","own",2,"skilled",1,"0","1","bad"
"1865","<0",31,"existing paid","radio/tv",2308.5,"<100","1<=X<4",3.48,"female div/dep/mar","none",3,"car",29,"stores","own",1,"skilled",1,"0","1","bad"
"1866","no checking",36,"delayed previously","radio/tv",4463,"<100","1<=X<4",4,"male single","none",2,"car",26,"stores","own",2,"high qualif/self emp/mgmt",1,"1","1","bad"
"1867","no checking",36,"existing paid","furniture/equipment",3349,"<100","1<=X<4",4,"female div/dep/mar","none",2,"car",28,"stores","own",1,"high qualif/self emp/mgmt",1,"1","1","bad"
"1868","<0",12,"existing paid","new car",1274,"<100","<1",3,"female div/dep/mar","none",1,"real estate",37,"stores","own",1,"unskilled resident",1,"0","1","bad"
"1869","0<=X<200",44,"critical/order existing credit","furniture/equipment",5125.39,"<100","1<=X<4",2.71,"male div/sep","none",2,"car",29,"stores","own",1,"high qualif/self emp/mgmt",1,"0","1","bad"
"1870","<0",12,"all paid","new car",622.38,"<100","1<=X<4",4,"female div/dep/mar","none",3,"real estate",24,"bank","own",1,"unemp/unskilled non res",1,"0","1","bad"
"1871","0<=X<200",48,"existing paid","radio/tv",10155.34,"<100","4<=X<7",2.74,"male div/sep","none",3,"life insurance",33,"stores","for free",2,"skilled",1,"1","1","bad"
"1872","0<=X<200",22,"existing paid","new car",1350.89,"<100","4<=X<7",3.41,"female div/dep/mar","none",3,"life insurance",25,"bank","own",1,"unemp/unskilled non res",1,"0","1","bad"
"1873","<0",12,"critical/order existing credit","furniture/equipment",2239.89,"<100","<1",2.83,"male single","none",2,"life insurance",54,"bank","own",2,"skilled",1,"0","1","bad"
"1874","0<=X<200",36,"no credits/all paid","business",1953,"<100",">=7",4,"male single","none",4,"no known property",61,"stores","for free",1,"high qualif/self emp/mgmt",1,"1","1","bad"
"1875","0<=X<200",35,"existing paid","furniture/equipment",3445.08,"500<=X<1000","<1",3.63,"male mar/wid","guarantor",2,"car",38,"stores","own",1,"skilled",1,"0","1","bad"
"1876","<0",20,"critical/order existing credit","new car",2235,"<100","1<=X<4",4,"male mar/wid","guarantor",2,"life insurance",33,"bank","rent",2,"skilled",1,"0","0","bad"
"1877","<0",24,"delayed previously","furniture/equipment",3124.65,"<100","4<=X<7",4,"female div/dep/mar","none",1,"life insurance",27,"stores","own",1,"skilled",1,"0","1","bad"
"1878","0<=X<200",18,"critical/order existing credit","furniture/equipment",1928,"<100","<1",2,"male single","none",2,"real estate",31,"stores","own",2,"unskilled resident",1,"0","1","bad"
"1879","0<=X<200",28,"existing paid","new car",14488.46,"<100",">=7",3.12,"male single","none",2,"no known property",60,"bank","for free",1,"high qualif/self emp/mgmt",1,"1","1","bad"
"1880","0<=X<200",13,"critical/order existing credit","education",1133.82,"<100",">=7",4,"male div/sep","none",2,"life insurance",32,"stores","for free",2,"skilled",1,"0","1","bad"
"1881","<0",16,"existing paid","furniture/equipment",2814.24,"<100","4<=X<7",1.51,"male div/sep","none",1,"no known property",29,"bank","own",1,"unemp/unskilled non res",1,"0","1","bad"
"1882","0<=X<200",24,"delayed previously","furniture/equipment",4795.68,"<100","4<=X<7",2,"male mar/wid","co applicant",3,"car",29,"bank","own",1,"skilled",1,"0","1","bad"
"1883",">=200",47,"existing paid","business",3899.39,">=1000","1<=X<4",4,"female div/dep/mar","none",1,"no known property",38,"bank","own",1,"skilled",1,"0","1","bad"
"1884","<0",20,"existing paid","other",3361.11,"<100",">=7",3.61,"male single","none",2,"life insurance",37,"stores","own",1,"high qualif/self emp/mgmt",1,"1","1","bad"
"1885","0<=X<200",23,"critical/order existing credit","other",1217.04,"100<=X<500","<1",3.55,"male mar/wid","none",3,"no known property",39,"bank","own",2,"skilled",1,"0","1","bad"
"1886","0<=X<200",12,"critical/order existing credit","domestic appliance",1194.1,"<100",">=7",3.22,"female div/dep/mar","none",4,"life insurance",36,"stores","for free",1,"skilled",1,"0","1","bad"
"1887","<0",35,"existing paid","new car",3942.21,"<100","1<=X<4",3.6,"male div/sep","none",3,"life insurance",39,"stores","for free",1,"skilled",1,"0","1","bad"
"1888","<0",18,"existing paid","furniture/equipment",4153,"<100","1<=X<4",2,"male single","co applicant",3,"car",42,"stores","own",1,"skilled",1,"0","1","bad"
"1889","0<=X<200",12,"existing paid","furniture/equipment",890.65,"<100","<1",4,"male mar/wid","none",3,"car",40,"bank","own",1,"unemp/unskilled non res",1,"0","1","bad"
"1890","0<=X<200",16,"critical/order existing credit","other",891.55,"<100","<1",4,"male mar/wid","none",4,"car",29,"bank","own",1,"skilled",1,"0","1","bad"
"1891","0<=X<200",36,"existing paid","repairs",2384,"<100","<1",3.99,"male single","none",1,"no known property",33,"stores","rent",1,"unskilled resident",1,"0","1","bad"
"1892","<0",21,"delayed previously","education",3414,"<100","<1",2,"male single","none",1,"life insurance",26,"stores","own",2,"skilled",1,"0","1","bad"
"1893","0<=X<200",7,"all paid","new car",931.69,"100<=X<500","4<=X<7",1.26,"female div/dep/mar","none",1,"life insurance",31,"stores","own",1,"unemp/unskilled non res",1,"0","1","bad"
"1894","no checking",18,"existing paid","furniture/equipment",1533,"<100","<1",4,"male mar/wid","co applicant",1,"life insurance",43,"stores","own",1,"unskilled resident",2,"0","1","bad"
"1895","<0",24,"critical/order existing credit","new car",3575.22,"500<=X<1000","4<=X<7",2.66,"male single","none",4,"car",28,"bank","own",1,"skilled",1,"0","1","bad"
"1896","<0",48,"critical/order existing credit","used car",6143,"<100",">=7",4,"female div/dep/mar","none",4,"no known property",58,"stores","for free",2,"unskilled resident",1,"0","1","bad"
"1897","0<=X<200",22,"all paid","radio/tv",1543.49,"<100","4<=X<7",3.37,"male mar/wid","guarantor",3,"car",23,"bank","rent",1,"unemp/unskilled non res",1,"0","1","bad"
"1898","0<=X<200",22,"critical/order existing credit","other",2543.41,"500<=X<1000","1<=X<4",4,"male single","none",1,"life insurance",26,"stores","own",2,"unskilled resident",1,"0","1","bad"
"1899","<0",12,"no credits/all paid","new car",1082,"<100","1<=X<4",4,"male single","none",4,"car",48,"bank","own",2,"skilled",1,"0","1","bad"
"1900","0<=X<200",15,"existing paid","new car",1769.26,"<100","<1",2.16,"female div/dep/mar","none",1,"no known property",25,"stores","own",2,"skilled",1,"0","1","bad"
"1901","<0",36,"delayed previously","education",6887,"<100","1<=X<4",4,"male single","none",3,"life insurance",29,"stores","own",1,"skilled",1,"1","1","bad"
"1902","no checking",18,"critical/order existing credit","education",1864,"100<=X<500","1<=X<4",4,"female div/dep/mar","none",2,"real estate",30,"stores","own",2,"skilled",1,"0","1","bad"
"1903","0<=X<200",24,"critical/order existing credit","new car",1356.86,">=1000","<1",3.63,"male div/sep","none",3,"car",34,"stores","own",1,"skilled",1,"1","1","bad"
"1904","<0",15,"existing paid","new car",903.47,"no known savings","1<=X<4",4,"male div/sep","none",2,"car",24,"bank","own",1,"skilled",1,"0","1","bad"
"1905",">=200",46,"critical/order existing credit","retraining",11644.22,"100<=X<500","1<=X<4",1.87,"female div/dep/mar","none",3,"car",25,"bank","own",2,"unskilled resident",1,"0","1","bad"
"1906","0<=X<200",18,"existing paid","new car",1042,"no known savings","1<=X<4",4,"female div/dep/mar","none",2,"life insurance",33,"stores","own",1,"skilled",1,"0","1","bad"
"1907","0<=X<200",20,"critical/order existing credit","other",1218.88,"100<=X<500","<1",2.77,"male mar/wid","none",2,"no known property",41,"bank","own",2,"skilled",1,"0","1","bad"
"1908","no checking",36,"delayed previously","business",7980,"no known savings","<1",4,"male single","none",4,"car",27,"stores","rent",2,"skilled",1,"1","1","bad"
"1909","<0",22,"existing paid","new car",2310.31,"<100","<1",3.39,"male mar/wid","co applicant",1,"real estate",38,"stores","own",1,"skilled",1,"0","1","bad"
"1910","<0",12,"all paid","furniture/equipment",697.7,"<100","<1",4,"male single","none",2,"car",45,"bank","own",2,"skilled",1,"0","1","bad"
"1911","0<=X<200",12,"existing paid","new car",678.87,"<100","1<=X<4",2.4,"male mar/wid","none",3,"car",25,"bank","own",1,"unskilled resident",1,"0","1","bad"
"1912","0<=X<200",48,"existing paid","radio/tv",3060,"<100","4<=X<7",4,"male single","none",4,"real estate",28,"stores","own",2,"skilled",1,"0","1","bad"
"1913","0<=X<200",24,"existing paid","new car",1361.79,"<100","4<=X<7",3.42,"female div/dep/mar","none",4,"life insurance",25,"stores","own",1,"unemp/unskilled non res",1,"0","1","bad"
"1914","0<=X<200",40,"existing paid","education",6330.41,">=1000","<1",4,"male single","none",4,"life insurance",34,"stores","for free",1,"skilled",1,"0","1","bad"
"1915","<0",15,"existing paid","new car",903.58,"no known savings","1<=X<4",4,"male div/sep","none",2,"car",24,"bank","own",1,"skilled",1,"0","1","bad"
"1916","<0",24,"all paid","furniture/equipment",6872,"<100","<1",2,"male div/sep","none",1,"life insurance",55,"bank","own",1,"skilled",1,"1","1","bad"
"1917","0<=X<200",21,"delayed previously","furniture/equipment",1216.56,"500<=X<1000","1<=X<4",4,"male mar/wid","none",3,"no known property",43,"bank","own",1,"unemp/unskilled non res",1,"0","1","bad"
"1918","<0",20,"existing paid","new car",909.34,"no known savings","4<=X<7",4,"female div/dep/mar","none",2,"car",26,"bank","own",1,"skilled",1,"0","1","bad"
"1919","<0",22,"existing paid","furniture/equipment",948.94,"<100","1<=X<4",3.52,"male mar/wid","none",2,"life insurance",36,"bank","for free",1,"skilled",1,"0","0","bad"
"1920","0<=X<200",24,"existing paid","new car",1355,"<100","<1",3,"female div/dep/mar","none",4,"car",25,"stores","own",1,"unskilled resident",1,"1","1","bad"
"1921","0<=X<200",41,"existing paid","new car",14219.91,"<100","<1",2.9,"male single","none",2,"life insurance",25,"stores","own",1,"high qualif/self emp/mgmt",1,"1","1","bad"
"1922","0<=X<200",24,"existing paid","new car",1246,"<100","<1",4,"male single","none",2,"real estate",23,"stores","own",1,"unskilled resident",1,"0","1","bad"
"1923",">=200",10,"delayed previously","education",1977.14,"<100","<1",2.13,"female div/dep/mar","co applicant",2,"car",19,"stores","own",2,"skilled",1,"0","1","bad"
"1924","0<=X<200",10,"critical/order existing credit","education",1136,">=1000",">=7",4,"male single","none",3,"no known property",32,"stores","for free",2,"skilled",2,"0","1","bad"
"1925","0<=X<200",13,"critical/order existing credit","education",1133.82,"<100",">=7",4,"male div/sep","none",2,"life insurance",32,"stores","for free",2,"skilled",1,"0","1","bad"
"1926","<0",12,"critical/order existing credit","new car",694.28,"<100",">=7",4,"male single","none",3,"life insurance",39,"stores","own",2,"skilled",1,"0","1","bad"
"1927","<0",18,"all paid","furniture/equipment",1553,"<100","1<=X<4",4,"male single","none",3,"car",44,"bank","own",1,"skilled",1,"0","1","bad"
"1928","<0",18,"existing paid","furniture/equipment",2462,"<100","1<=X<4",2,"male single","none",2,"car",22,"stores","own",1,"skilled",1,"0","1","bad"
"1929","<0",10,"existing paid","radio/tv",1336.69,"<100","<1",3.9,"male single","none",1,"car",33,"stores","own",2,"high qualif/self emp/mgmt",1,"0","1","bad"
"1930","0<=X<200",16,"delayed previously","furniture/equipment",2771.15,">=1000","<1",1.47,"female div/dep/mar","none",2,"car",25,"bank","own",1,"skilled",1,"0","1","bad"
"1931","0<=X<200",33,"existing paid","radio/tv",2387.64,"500<=X<1000","<1",3.72,"male single","none",1,"life insurance",33,"bank","own",1,"unemp/unskilled non res",1,"0","1","bad"
"1932","<0",48,"existing paid","used car",10297,"<100","4<=X<7",4,"male single","none",4,"no known property",39,"stores","for free",3,"skilled",2,"1","1","bad"
"1933","no checking",27,"existing paid","new car",2570,"<100","1<=X<4",3,"female div/dep/mar","none",3,"real estate",21,"stores","rent",1,"skilled",1,"0","1","bad"
"1934","<0",6,"existing paid","new car",14896,"<100",">=7",1,"male single","none",4,"no known property",68,"bank","own",1,"high qualif/self emp/mgmt",1,"1","1","bad"
"1935","<0",12,"existing paid","furniture/equipment",7865,"<100",">=7",4,"male single","none",4,"no known property",53,"stores","for free",1,"high qualif/self emp/mgmt",1,"1","1","bad"
"1936","<0",20,"delayed previously","furniture/equipment",2492.37,"<100",">=7",4,"male single","none",1,"car",31,"stores","own",1,"unemp/unskilled non res",1,"0","1","bad"
"1937","0<=X<200",22,"critical/order existing credit","other",1216,"100<=X<500","<1",4,"male div/sep","none",3,"life insurance",31,"bank","own",2,"skilled",1,"0","1","bad"
"1938","<0",24,"critical/order existing credit","new car",3575.22,"500<=X<1000","4<=X<7",2.66,"male single","none",4,"car",28,"bank","own",1,"skilled",1,"0","1","bad"
"1939","0<=X<200",15,"existing paid","domestic appliance",1275.05,">=1000","1<=X<4",4,"female div/dep/mar","none",1,"car",24,"stores","rent",1,"skilled",1,"0","1","bad"
"1940","<0",36,"existing paid","education",1977,"no known savings",">=7",3.98,"male single","none",4,"no known property",40,"stores","own",1,"high qualif/self emp/mgmt",1,"1","1","bad"
"1941","no checking",18,"critical/order existing credit","new car",2775,"<100","4<=X<7",2,"male single","none",2,"life insurance",31,"bank","own",2,"skilled",1,"0","1","bad"
"1942","<0",22,"delayed previously","education",7948.05,"<100","4<=X<7",3.58,"male div/sep","none",3,"no known property",41,"stores","for free",1,"high qualif/self emp/mgmt",1,"1","1","bad"
"1943","<0",16,"existing paid","new car",1220.58,"<100","4<=X<7",4,"female div/dep/mar","none",2,"life insurance",23,"stores","own",1,"skilled",1,"0","1","bad"
"1944","<0",24,"all paid","education",3536.34,"<100","4<=X<7",2.89,"male single","none",3,"car",26,"bank","own",1,"skilled",1,"0","1","bad"
"1945","<0",24,"existing paid","new car",1371,"no known savings","1<=X<4",4,"female div/dep/mar","none",4,"real estate",25,"stores","rent",1,"skilled",1,"0","1","bad"
"1946","<0",30,"existing paid","repairs",11998,"<100","<1",1,"male div/sep","none",1,"no known property",34,"stores","own",1,"unskilled resident",1,"1","1","bad"
"1947","0<=X<200",24,"existing paid","furniture/equipment",4057,"<100","4<=X<7",3,"male div/sep","none",3,"car",43,"stores","own",1,"skilled",1,"1","1","bad"
"1948","<0",23,"delayed previously","new car",4821.24,"<100","4<=X<7",2.16,"male single","co applicant",3,"life insurance",32,"stores","own",1,"skilled",1,"1","1","bad"
"1949","0<=X<200",16,"critical/order existing credit","furniture/equipment",1925.44,"<100","4<=X<7",2.85,"male single","none",2,"no known property",33,"stores","own",2,"unskilled resident",1,"0","1","bad"
"1950","0<=X<200",24,"existing paid","domestic appliance",3927.09,"<100","1<=X<4",3.73,"male mar/wid","none",2,"car",34,"stores","own",1,"skilled",1,"1","1","bad"
"1951",">=200",12,"existing paid","education",719.11,"<100","<1",4,"male mar/wid","none",3,"car",40,"bank","own",1,"unskilled resident",1,"0","1","bad"
"1952","<0",32,"existing paid","radio/tv",2388.55,"500<=X<1000","<1",3.65,"male single","none",1,"life insurance",33,"bank","own",1,"unemp/unskilled non res",1,"0","1","bad"
"1953","<0",18,"existing paid","radio/tv",3190,"<100","1<=X<4",2.01,"female div/dep/mar","none",2,"real estate",24,"stores","own",1,"skilled",1,"0","1","bad"
"1954","<0",48,"no credits/all paid","used car",4605,"<100",">=7",3,"male single","none",4,"no known property",24,"stores","for free",2,"skilled",2,"0","1","bad"
"1955","0<=X<200",23,"existing paid","new car",1246,"<100","<1",4,"male single","none",2,"real estate",23,"stores","own",1,"unskilled resident",1,"0","1","bad"
"1956","<0",16,"existing paid","new car",1220.58,"<100","4<=X<7",4,"female div/dep/mar","none",2,"life insurance",23,"stores","own",1,"skilled",1,"0","1","bad"
"1957","0<=X<200",54,"no credits/all paid","business",15945,"<100","<1",3,"male single","none",4,"no known property",58,"stores","rent",1,"skilled",1,"1","1","bad"
"1958","<0",30,"existing paid","furniture/equipment",3109.38,"<100","<1",2.18,"female div/dep/mar","none",3,"life insurance",30,"stores","own",1,"unemp/unskilled non res",1,"0","1","bad"
"1959","<0",29,"existing paid","furniture/equipment",2411.85,"<100","4<=X<7",4,"female div/dep/mar","none",4,"real estate",25,"stores","own",1,"skilled",1,"0","1","bad"
"1960","<0",44,"existing paid","radio/tv",7137.74,">=1000","4<=X<7",3.38,"female div/dep/mar","guarantor",2,"car",30,"stores","own",1,"high qualif/self emp/mgmt",1,"1","1","bad"
"1961","<0",30,"existing paid","furniture/equipment",6350,"no known savings",">=7",4,"male single","none",4,"life insurance",31,"stores","own",1,"skilled",1,"0","1","bad"
"1962","<0",18,"existing paid","radio/tv",3190,"<100","1<=X<4",2,"female div/dep/mar","none",2,"real estate",24,"stores","own",1,"skilled",1,"0","1","bad"
"1963",">=200",17,"critical/order existing credit","furniture/equipment",2771.51,"<100","4<=X<7",1.73,"male mar/wid","none",2,"life insurance",29,"bank","own",2,"skilled",1,"0","1","bad"
"1964","<0",18,"existing paid","furniture/equipment",1131,"<100","unemployed",4,"female div/dep/mar","none",2,"car",33,"stores","own",1,"skilled",1,"0","1","bad"
"1965","no checking",24,"delayed previously","business",8648,"<100","<1",2,"male single","none",2,"car",27,"bank","own",2,"skilled",1,"1","1","bad"
"1966","<0",24,"all paid","new car",1355.28,"no known savings","<1",4,"male single","none",2,"car",39,"stores","own",1,"high qualif/self emp/mgmt",1,"0","1","bad"
"1967","0<=X<200",24,"delayed previously","furniture/equipment",2064,"<100","unemployed",3,"female div/dep/mar","none",2,"life insurance",34,"stores","own",1,"high qualif/self emp/mgmt",1,"1","1","bad"
"1968","no checking",18,"critical/order existing credit","new car",1530,"<100","1<=X<4",3,"male single","none",2,"life insurance",32,"bank","own",2,"skilled",1,"0","1","bad"
"1969","<0",50,"critical/order existing credit","other",7434.51,"500<=X<1000","<1",4,"female div/dep/mar","none",1,"life insurance",33,"bank","own",1,"high qualif/self emp/mgmt",1,"0","1","bad"
"1970","<0",12,"existing paid","new car",1274,"<100","<1",3,"female div/dep/mar","none",1,"real estate",37,"stores","own",1,"unskilled resident",1,"0","1","bad"
"1971","0<=X<200",20,"critical/order existing credit","furniture/equipment",4300.19,"<100",">=7",4,"male div/sep","none",2,"life insurance",38,"stores","own",1,"high qualif/self emp/mgmt",1,"0","1","bad"
"1972","0<=X<200",6,"delayed previously","new car",1209,"<100","unemployed",4,"male single","none",4,"life insurance",47,"stores","own",1,"high qualif/self emp/mgmt",1,"1","1","bad"
"1973","<0",12,"existing paid","new car",1372,"<100","4<=X<7",2,"male div/sep","none",3,"car",36,"stores","own",1,"skilled",1,"0","1","bad"
"1974","0<=X<200",6,"all paid","education",433,">=1000","<1",4,"female div/dep/mar","none",2,"life insurance",24,"bank","rent",1,"skilled",2,"0","1","bad"
"1975","0<=X<200",12,"existing paid","new car",836,"100<=X<500","<1",4,"female div/dep/mar","none",2,"life insurance",23,"bank","own",1,"unskilled resident",1,"0","1","bad"
"1976","<0",18,"existing paid","furniture/equipment",2471.54,"<100",">=7",3.73,"male single","none",1,"car",24,"stores","own",1,"skilled",1,"0","1","bad"
"1977","<0",20,"critical/order existing credit","other",3363.5,"500<=X<1000","<1",3.61,"male single","none",4,"no known property",31,"stores","for free",1,"skilled",1,"1","1","bad"
"1978","<0",60,"delayed previously","business",6836,"<100",">=7",3,"male single","none",4,"no known property",63,"stores","own",2,"skilled",1,"1","1","bad"
"1979","<0",14,"existing paid","new car",8978,"<100",">=7",1,"male div/sep","none",4,"life insurance",45,"stores","own",1,"high qualif/self emp/mgmt",1,"1","0","bad"
"1980","<0",29,"delayed previously","education",2125.36,"<100","1<=X<4",2.87,"male single","guarantor",1,"life insurance",29,"stores","own",2,"skilled",1,"0","1","bad"
"1981","<0",12,"no credits/all paid","new car",1082,"<100","1<=X<4",4,"male single","none",4,"car",48,"bank","own",2,"skilled",1,"0","1","bad"
"1982","no checking",21,"critical/order existing credit","new car",12680,"no known savings",">=7",4,"male single","none",4,"no known property",30,"stores","for free",1,"high qualif/self emp/mgmt",1,"1","1","bad"
"1983",">=200",22,"delayed previously","other",3593.01,"100<=X<500","<1",2.23,"male mar/wid","guarantor",3,"car",30,"stores","own",2,"skilled",1,"0","1","bad"
"1984","0<=X<200",6,"all paid","new car",931,"100<=X<500","<1",1,"female div/dep/mar","none",1,"life insurance",32,"stores","own",1,"unskilled resident",1,"0","1","bad"
"1985","0<=X<200",57,"existing paid","new car",14065.74,"<100","4<=X<7",4,"male single","none",2,"no known property",30,"stores","for free",1,"high qualif/self emp/mgmt",1,"1","1","bad"
"1986","0<=X<200",36,"existing paid","repairs",2384,"<100","<1",4,"male single","none",1,"no known property",33,"stores","rent",1,"unskilled resident",1,"0","1","bad"
"1987","<0",18,"existing paid","domestic appliance",1217,"<100","1<=X<4",4,"male mar/wid","none",3,"real estate",47,"stores","own",1,"unskilled resident",1,"1","1","bad"
"1988","<0",21,"existing paid","other",3172.4,"<100","1<=X<4",2,"female div/dep/mar","none",2,"no known property",25,"stores","own",1,"skilled",1,"0","1","bad"
"1989","0<=X<200",20,"critical/order existing credit","furniture/equipment",4292.57,"<100",">=7",3.97,"male div/sep","none",2,"life insurance",38,"stores","own",1,"high qualif/self emp/mgmt",1,"0","1","bad"
"1990","<0",18,"existing paid","education",750,"<100","unemployed",4,"female div/dep/mar","none",1,"real estate",27,"stores","own",1,"unemp/unskilled non res",1,"0","1","bad"
"1991","0<=X<200",12,"existing paid","furniture/equipment",1229.58,"<100","1<=X<4",3.35,"female div/dep/mar","none",3,"life insurance",23,"stores","own",1,"skilled",1,"0","1","bad"
"1992","<0",42,"existing paid","radio/tv",7174,"no known savings","4<=X<7",4,"female div/dep/mar","none",3,"car",30,"stores","own",1,"high qualif/self emp/mgmt",1,"1","1","bad"
"1993","<0",24,"existing paid","furniture/equipment",3234,"<100","<1",4,"female div/dep/mar","none",4,"real estate",23,"stores","rent",1,"unskilled resident",1,"1","1","bad"
"1994","0<=X<200",37,"existing paid","other",3016.69,"100<=X<500","1<=X<4",4,"male mar/wid","guarantor",3,"life insurance",22,"stores","rent",1,"skilled",1,"0","1","bad"
"1995","<0",36,"critical/order existing credit","domestic appliance",8038.52,"<100","1<=X<4",3.31,"female div/dep/mar","none",2,"life insurance",25,"stores","own",2,"high qualif/self emp/mgmt",1,"1","1","bad"
"1996",">=200",12,"delayed previously","education",1126.12,"500<=X<1000","1<=X<4",4,"female div/dep/mar","none",3,"car",29,"stores","own",1,"unemp/unskilled non res",1,"0","1","bad"
"1997","<0",22,"existing paid","radio/tv",2318.93,"<100","4<=X<7",2.65,"female div/dep/mar","none",3,"no known property",26,"stores","own",1,"unemp/unskilled non res",1,"0","1","bad"
"1998","0<=X<200",22,"existing paid","new car",1351.54,"<100","4<=X<7",3.35,"female div/dep/mar","none",3,"life insurance",25,"bank","own",1,"unemp/unskilled non res",1,"0","1","bad"
"1999","0<=X<200",22,"critical/order existing credit","other",1216,"100<=X<500","<1",4,"male div/sep","none",3,"life insurance",31,"bank","own",2,"skilled",1,"0","1","bad"
"2000","<0",43,"existing paid","other",1844.24,"<100","1<=X<4",4,"male mar/wid","none",4,"life insurance",25,"stores","for free",1,"skilled",1,"1","1","bad"
"2001","0<=X<200",48,"existing paid","other",10972.18,"<100","1<=X<4",1.03,"male single","co applicant",2,"life insurance",27,"bank","own",2,"high qualif/self emp/mgmt",1,"1","1","bad"
"2002","<0",24,"existing paid","new car",1285.99,"no known savings","1<=X<4",4,"female div/dep/mar","guarantor",4,"life insurance",31,"stores","own",1,"skilled",1,"0","1","bad"
"2003","0<=X<200",42,"critical/order existing credit","education",6029.27,"<100","1<=X<4",4,"male single","none",3,"no known property",30,"bank","for free",1,"skilled",1,"0","1","bad"
"2004","no checking",27,"existing paid","new car",2570,"<100","1<=X<4",3,"female div/dep/mar","none",3,"real estate",21,"stores","rent",1,"skilled",1,"0","1","bad"
"2005","<0",24,"existing paid","furniture/equipment",1284.29,"no known savings","1<=X<4",4,"female div/dep/mar","none",3,"life insurance",31,"stores","rent",1,"skilled",1,"0","1","bad"
"2006","<0",18,"no credits/all paid","furniture/equipment",3114,"<100","<1",1,"female div/dep/mar","none",4,"life insurance",26,"stores","rent",1,"skilled",1,"0","1","bad"
"2007","no checking",18,"existing paid","radio/tv",433,"<100","unemployed",3,"female div/dep/mar","co applicant",4,"real estate",22,"stores","rent",1,"skilled",1,"0","1","bad"
"2008",">=200",15,"existing paid","radio/tv",2327,"<100","<1",2,"female div/dep/mar","none",3,"real estate",25,"stores","own",1,"unskilled resident",1,"0","1","bad"
"2009","0<=X<200",36,"delayed previously","repairs",9420.22,"<100","<1",1,"male div/sep","none",3,"car",28,"stores","own",1,"high qualif/self emp/mgmt",1,"0","1","bad"
"2010","<0",24,"all paid","education",3536.34,"<100","4<=X<7",2.89,"male single","none",3,"car",26,"bank","own",1,"skilled",1,"0","1","bad"
"2011","<0",12,"existing paid","domestic appliance",741,"100<=X<500","unemployed",4,"female div/dep/mar","none",3,"life insurance",22,"stores","own",1,"skilled",1,"0","1","bad"
"2012","0<=X<200",19,"critical/order existing credit","new car",1056,"<100",">=7",3,"male single","guarantor",3,"real estate",30,"bank","own",2,"skilled",1,"0","1","bad"
"2013","0<=X<200",60,"existing paid","new car",7507.31,"100<=X<500","<1",4,"female div/dep/mar","none",2,"life insurance",24,"stores","own",1,"high qualif/self emp/mgmt",1,"0","1","bad"
"2014","<0",12,"all paid","business",610.01,"<100","4<=X<7",4,"female div/dep/mar","none",1,"real estate",25,"bank","own",1,"unemp/unskilled non res",1,"0","1","bad"
"2015","<0",18,"existing paid","furniture/equipment",1131,"<100","unemployed",4,"female div/dep/mar","none",2,"car",33,"stores","own",1,"skilled",0,"0","1","bad"
"2016","<0",12,"existing paid","used car",3386,"<100",">=7",3,"male single","none",4,"no known property",35,"stores","for free",1,"skilled",1,"1","1","bad"
"2017","<0",24,"critical/order existing credit","new car",1365.1,"no known savings","4<=X<7",4,"male div/sep","none",3,"life insurance",31,"stores","own",1,"high qualif/self emp/mgmt",0,"0","1","bad"
"2018","<0",24,"all paid","other",1637.53,"no known savings",">=7",4,"male single","none",3,"car",40,"stores","own",1,"high qualif/self emp/mgmt",1,"1","1","bad"
"2019","0<=X<200",57,"existing paid","new car",14065.74,"<100","4<=X<7",4,"male single","none",2,"no known property",30,"stores","for free",1,"high qualif/self emp/mgmt",1,"1","1","bad"
"2020","<0",24,"existing paid","radio/tv",1987,"<100","1<=X<4",2,"male single","none",4,"real estate",21,"stores","rent",1,"unskilled resident",2,"0","1","bad"
"2021","0<=X<200",12,"existing paid","new car",898.12,">=1000","1<=X<4",4,"male mar/wid","none",2,"car",25,"bank","own",1,"skilled",1,"0","1","bad"
"2022","<0",12,"existing paid","retraining",902,"<100","4<=X<7",4,"male mar/wid","none",4,"life insurance",21,"stores","rent",1,"skilled",1,"0","1","bad"
"2023",">=200",17,"critical/order existing credit","radio/tv",1551.43,"<100","<1",4,"male single","guarantor",4,"life insurance",42,"bank","for free",2,"skilled",1,"0","1","bad"
